# Long Lat depth(km) Vs(km/s)
23 51 200 4.64276981354
23.5 51 200 4.65301990509
24 51 200 4.65705013275
24.5 51 200 4.6556801796
25 51 200 4.65366983414
25.5 51 200 4.64601993561
26 51 200 4.63411998749
26.5 51 200 4.6205201149
27 51 200 4.60797023773
27.5 51 200 4.60097980499
28 51 200 4.59562015533
28.5 51 200 4.5873799324
29 51 200 4.57875013351
29.5 51 200 4.57242012024
30 51 200 4.57121992111
30.5 51 200 4.57713985443
31 51 200 4.58197021484
31.5 51 200 4.58480978012
32 51 200 4.58395004272
32.5 51 200 4.57802009583
33 51 200 4.56781005859
33.5 51 200 4.55756998062
34 51 200 4.54893016815
34.5 51 200 4.53992986679
35 51 200 4.53081989288
35.5 51 200 4.52792978287
36 51 200 4.53051996231
36.5 51 200 4.53382015228
37 51 200 4.53853988647
37.5 51 200 4.54747009277
38 51 200 4.55680990219
38.5 51 200 4.56568002701
39 51 200 4.56959009171
39.5 51 200 4.57071018219
40 51 200 4.57218980789
-10 50.5 200 4.44059991837
-9.5 50.5 200 4.44272994995
-9 50.5 200 4.44567012787
-8.5 50.5 200 4.44680023193
-8 50.5 200 4.44359016418
-7.5 50.5 200 4.44122982025
-7 50.5 200 4.44296979904
-6.5 50.5 200 4.44440984726
-6 50.5 200 4.44386005402
-5.5 50.5 200 4.43681001663
-5 50.5 200 4.42953014374
